timestamp,abertura,alta,baixa,fechamento,volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Superior,BB_Medio,BB_Inferior
2025-03-26 07:39:00,0.895475,0.895495,0.895325,0.895365,0,0.8957510000000001,0.8957352000000001,0.8956961415662253,0.8958368184185526,29.10447761194024,-9.882236868474781e-05,-5.090665113440821e-05,-4.79157175503396e-05,0.8961103795824005,0.8957510000000001,0.8953916204175997
2025-03-26 07:40:00,0.895355,0.895465,0.895305,0.895355,0,0.8957219999999999,0.895728,0.8956636518932515,0.8958179235786095,32.23140495867662,-0.00011316516889403605,-6.335835468633378e-05,-4.980681420770227e-05,0.8961112286569669,0.8957219999999999,0.8953327713430329
2025-03-26 07:41:00,0.895355,0.895445,0.895275,0.895435,0,0.895702,0.895719,0.8956418755224655,0.8958029069676836,31.092436974787717,-0.00011673100758913257,-7.403288526689355e-05,-4.2698122322239025e-05,0.8961075457661684,0.895702,0.8952964542338316
2025-03-26 07:42:00,0.895435,0.895445,0.895315,0.895315,0,0.895673,0.8957082,0.895610744520326,0.8957837733611078,25.98425196850593,-0.00012776713753437363,-8.477973572038957e-05,-4.298740181398406e-05,0.89610266817066,0.895673,0.8952433318293401
2025-03-26 07:43:00,0.895315,0.895495,0.895255,0.895395,0,0.8956554999999999,0.8957038,0.8955901974231522,0.8957685273469468,31.782945736438577,-0.0001285758759527189,-9.353896376685545e-05,-3.503691218586346e-05,0.8961010381134791,0.8956554999999999,0.8952099618865208
2025-03-26 07:44:00,0.895395,0.895395,0.895305,0.895315,0,0.895623,0.8957012,0.8955639881447567,0.8957507419607921,30.597014925375234,-0.00013412601715279138,-0.00010165637444404264,-3.246964270874873e-05,0.8960683076996918,0.895623,0.8951776923003081
2025-03-26 07:45:00,0.895305,0.895465,0.895295,0.895405,0,0.8955969999999999,0.8957002,0.8955488464166846,0.8957371834525257,36.4963503649673,-0.000129766429578404,-0.00010727838547091492,-2.2488044107489083e-05,0.8960285748395606,0.8955969999999999,0.8951654251604392
2025-03-26 07:46:00,0.895395,0.895515,0.895375,0.895465,0,0.895581,0.8956998,0.895540861043667,0.8957265095916424,36.49635036496214,-0.0001200856537914019,-0.00010983983913501232,-1.0245814656389583e-05,0.8960069182032105,0.895581,0.8951550817967894
2025-03-26 07:47:00,0.895495,0.895715,0.895465,0.895715,0,0.8955724999999999,0.8957046000000001,0.8955574457061749,0.8957260582351073,49.34210526316097,-9.118948297481833e-05,-0.00010610976790297353,1.4920284928155207e-05,0.8959792263402167,0.8955724999999999,0.8951657736597831
2025-03-26 07:48:00,0.895725,0.895785,0.895665,0.895675,0,0.89556,0.895709,0.8955686413532059,0.8957240559513776,57.692307692305064,-7.070171970857686e-05,-9.90281582640942e-05,2.832643855551734e-05,0.8959352613125121,0.89556,0.8951847386874879
